"Site","Year","Month","Day","dd","ff","tmin","t","tmax","td","p0","p","rrr","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m"
"40745",1959,1,1,117.5,2,2,3.49,8,1.53,901.16,1017.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,2,310,7.75,-1,-0.12,2,-1.86,905.05,1023.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,3,216.25,1.38,-7,-2.57,3,-3.11,908.61,1028.67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,4,225,2.12,-9,-2.41,6,-5.35,906.44,1026.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,5,133.75,0.5,-7,-3.21,3,-5.39,909.16,1029.81,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,6,168.75,1,-7,-0.65,9,-4.47,908.14,1027.71,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,7,131.25,0.5,-6,1.38,13,-4.08,907.45,1026.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,8,116.25,1,-6,0.61,10,-3.79,908.89,1027.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,9,58.75,0.5,-8,0.85,13,-6.99,905.23,1023.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,10,90,0.62,-7,2.33,14,-5.46,903.7,1021.41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,11,153.75,1.25,-2,4.88,14,-1.36,902.56,1018.73,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,12,140,0.75,-5,4.38,12,-2.12,902.65,1019.11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,13,116.25,2.25,-1,5.03,13,-1.29,908.35,1025.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,14,131.25,0.88,0,2.98,6,1.3,906.76,1023.89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,15,147.5,0.62,-5,3.88,12,-1.61,903.24,1020.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,16,258.75,1.25,-2,6.2,14,-1,904.48,1020.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,17,91.25,1.25,2,5.26,8,3.69,905.15,1021.08,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,18,55,0.62,2,4.6,10,2.59,903.24,1019.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,19,140,1,-2,5.1,13,0.24,900.98,1016.89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,20,167.5,1.88,-3,6.2,13,1.5,902.9,1018.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,21,140,4.12,3,2.74,9,2.41,909.17,1026.29,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,22,138.75,2.12,0,0.54,1,0.41,905.44,1023.56,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,23,282.5,4.12,0,-0.45,2,-1.07,897.05,1014.56,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,24,271.25,5.25,-3,-0.38,3,-2.74,900.11,1018.38,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,25,208.75,2.38,-3,-0.42,5,-2.31,905.52,1024.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,26,138.75,1,-6,0.55,8,-3.11,905.19,1023.77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40745",1959,1,27,173.75,0.88,-4,2,9,-1.5,903.38,1021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
