"Site","Year","Month","dd","ff","tmin","t","tmax","td","p0","p","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m","rrr"
"40745",1959,1,165.11,1.74,-3.35,2.23,9.29,-1.7,904.84,1022.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"40745",1959,2,192.68,2.37,-7.36,-2.42,4.18,-5.65,901.69,1021.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8
"40745",1959,3,163.05,2.5,2.06,5.69,10.26,2.84,904.06,1019.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"40745",1959,4,166.6,2.61,9.53,16.74,23.93,7.84,903.21,1014.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2
"40745",1959,5,160.34,2.64,11.1,19.22,26.29,4.93,901.15,1010.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1
"40745",1959,6,137.58,2.5,15.43,24.38,31.9,6.71,900.15,1007.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4
"40745",1959,7,115.93,2.57,16.71,25.65,32.94,8.21,897.3,1004.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1959,8,121.9,2.6,18.13,26.24,34.29,8.88,897.67,1004.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1959,9,153.68,2.56,12.83,22.16,30.87,5.74,900.6,1009.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1959,10,158.59,2.46,6.26,14.43,22.94,1.9,905.8,1018.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4
"40745",1959,11,137.77,1.91,0.2,5.24,11.53,-0.08,907.89,1024.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3
"40745",1959,12,137.9,1.38,-5.06,-0.85,5.32,-3.44,908.99,1028.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3
"40745",1960,1,168.93,2,-2.52,3.59,11.32,-1.82,906,1023.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"40745",1960,2,156.3,2.06,0.34,6.63,14.34,1.41,905.29,1020.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6
"40745",1960,3,181.83,3.29,-1.39,3.78,10.16,0.1,902.83,1019.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.7
"40745",1960,4,146.08,2.63,6.63,11.86,17.83,5.75,902.85,1015.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3
"40745",1960,5,155.04,2.82,10.68,18.51,25.68,8.35,903.54,1013.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3
"40745",1960,6,114.75,2.91,16.27,25.23,32.77,8.88,899.73,1006.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1960,7,104.88,3.21,17.52,25.89,33.32,9.24,898.66,1005.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1960,8,142.62,2.91,15.74,25.2,33.35,8.25,898.67,1005.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1960,9,143.18,2.63,10.7,19.93,28.57,5.34,904.3,1014.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1960,10,164.76,2.29,6.06,15,24.03,2.34,907.06,1019.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1960,11,178.79,2.09,0.57,6.78,14.23,0.56,907.44,1023.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2
"40745",1960,12,146.5,1.44,-5.03,1.76,11.39,-3.72,908.65,1026.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"40745",1961,1,173.31,2.01,-3.42,1.35,7.48,-1.88,906.38,1024.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"40745",1961,2,157.05,1.98,-2.75,1.89,7.89,-1.19,905.46,1023.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2
"40745",1961,3,182.98,2.92,1.48,7.48,14.71,1.22,902.06,1016.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"40745",1961,4,153.12,2.28,7.2,12.77,18.2,7.17,902.42,1014.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.6
"40745",1961,5,153.71,2.56,13.29,21.48,28.74,8.82,901.09,1009.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.1
"40745",1961,6,155.83,2.78,15.4,25.01,33.13,6.03,899.85,1007.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"40745",1961,7,129.15,2.96,19.13,27.8,35.06,9.73,897.32,1003.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1961,8,142.02,2.98,15.74,24.87,32.68,6.88,900.03,1007.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3
"40745",1961,9,144,2.66,11.7,20.44,28.6,5.84,901.61,1010.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1961,10,136.21,2.21,3.58,11.89,20.35,0.34,908.59,1022.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"40745",1961,11,140.96,1.48,0.6,8.02,16.47,2.72,905.74,1020.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7
"40745",1961,12,145.16,1.5,-1.71,5.42,13.68,-0.03,904.02,1020.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"40745",1962,1,155.28,2.28,-3.94,1.89,8.74,-3.78,906.43,1024.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3
"40745",1962,2,159.46,2.57,0.46,6.4,13.36,-0.14,903.21,1018.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"40745",1962,3,159.11,2.6,4.42,10.97,18.13,3.57,901.8,1015.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2
"40745",1962,4,142.25,2.59,6.83,12.6,18.23,5.95,901.59,1014.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3
"40745",1962,5,126.53,2.43,11.77,19.6,26.61,8.27,902.19,1011.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2
"40745",1962,6,143.46,2.87,14.47,23.35,30.57,6.41,900.46,1008.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"40745",1962,7,163.06,3.69,18.1,27.54,34.74,7.32,898.2,1004.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1962,8,138.67,3.04,14.39,23.81,31.55,4.95,901.44,1009.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1962,9,136.17,2.56,8.3,17.74,26.23,3.16,905.03,1015.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1962,10,141.05,2.16,4.71,13.08,21.39,2.47,906.98,1020.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
"40745",1962,11,149.75,1.95,-2.83,3.98,12,-1.54,910.88,1028.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
"40745",1962,12,147.86,1.81,-2.32,3.74,11.1,-1.85,905.32,1022.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9
"40745",1963,1,156.85,1.66,-1.35,5.41,13.65,0.6,904.98,1021.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"40745",1963,2,152.28,2.46,1.64,7.64,14.29,2,903.85,1018.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"40745",1963,3,165.65,2.83,1.61,7.33,14.06,2.25,900.64,1015.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"40745",1963,4,145.54,2.69,9.2,15.69,22.47,9.02,899.7,1010.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2
"40745",1963,5,144.68,2.5,12.06,18.2,24.32,11.64,898.41,1008.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.3
"40745",1963,6,142.17,3.26,17.3,25.02,32.3,11.78,899.66,1006.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
"40745",1963,7,117.7,2.55,18.29,27.11,34.42,10.68,897.93,1004.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40745",1963,8,111.61,2.48,15.84,24.64,32.16,9.22,899.83,1007.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40745",1963,9,129.62,2.55,11.43,20.67,29.33,6.36,903.81,1013.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"40745",1963,10,136.09,2.04,7.42,15.64,24.1,5.16,906.66,1018.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"40745",1963,11,116,1.6,0.87,7.01,15.03,2.19,906.48,1022.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3
"40745",1963,12,117.62,1.63,-4.94,0.58,8.13,-2.84,905.58,1024.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8
"40745",1964,1,147.54,1.65,-14.03,-7.64,-0.16,-10.37,906.15,1028.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"40745",1964,2,139.4,1.94,-1.48,2.74,8.1,0.91,903.15,1020.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8
"40745",1964,3,160.81,2.88,5.39,10.36,16.9,3.5,902.65,1016.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3
"40745",1964,4,154.67,3.04,7.1,11.99,17.6,5.43,899.77,1012.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2
"40745",1964,5,130.89,2.48,11.68,19.56,26.55,5.22,901.91,1011.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6
"40745",1964,6,124.42,2.47,15.8,24.87,32.17,3.88,898.53,1005.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"40745",1964,7,121.13,2.85,19.23,27.13,33.81,7.32,897.31,1003.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"40745",1964,8,103.43,2.46,16.74,25.62,33.45,4.16,898.03,1005.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1964,9,129.79,2.42,10.7,19.7,28.23,1.28,903.45,1013.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1964,10,126.21,2.09,2.13,10.73,19.74,-3.33,908.62,1022.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1964,11,128.38,1.7,-0.23,7.54,16.4,-3.51,905.95,1021.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"40745",1964,12,121.25,1.52,-8.74,-2.52,5.68,-8.53,909.01,1029.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"40745",1965,1,132.86,1.54,-4.03,-0.16,5.26,-2.81,904.26,1022.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2
"40745",1965,2,138.97,2.34,-1.71,3.56,10.32,-3.24,901.66,1018.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"40745",1965,3,140.12,2.4,1.03,6.74,13.42,0.08,904.49,1020.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1
"40745",1965,4,132.71,2.4,6.43,13.61,21.13,1.78,899.92,1011.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8
"40745",1965,5,109.92,2.1,12.77,21.12,28.45,5.02,902.2,1011.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.4
"40745",1965,6,119.54,2.59,16.1,24.95,32.33,3.54,899.8,1007.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40745",1965,7,114.27,2.64,19.06,27.32,34.35,6.63,897.78,1004.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"40745",1965,8,130.6,2.58,15.55,24.91,33.13,3.86,901.32,1008.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"40745",1965,9,118,2.03,10.97,19.53,27.37,1.81,904.6,1014.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
