"Site","Year","dd","ff","tmin","t","tmax","td","p0","p","ewm","um","sshn","radglo24","evt","ewsm","nm","umax","umin","tsoil_m","rrr"
"40745",1959,150.61,2.32,6.45,13.31,20.4,3.06,902.78,1015.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5
"40745",1960,150.32,2.52,6.31,13.69,21.43,3.72,903.74,1016.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.5
"40745",1961,151.11,2.36,6.74,14.11,21.5,3.83,902.86,1015.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.5
"40745",1962,146.83,2.55,6.24,13.78,21.11,2.92,903.62,1016.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.8
"40745",1963,136.22,2.35,7.47,14.61,22.05,5.68,902.28,1014.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.2
"40745",1964,132.26,2.29,5.36,12.52,19.9,0.48,902.89,1015.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215.1
"40745",1965,129.16,2.19,7.24,14.33,21.58,1.67,902.68,1014.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.3
"40745",1966,141.39,2.34,7.58,14.89,22.35,0.22,902.83,1014.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.3
"40745",1967,132.16,2.28,6.22,13.26,20.38,1.23,902.06,1014.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.4
"40745",1968,121.35,1.95,7.08,13.85,20.64,1.42,902.79,1015.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.8
"40745",1969,111.58,2.43,6.23,12.58,19.52,3.32,903.3,1016.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225.1
"40745",1970,88.32,2.03,6.43,13.84,21.84,1.68,902.68,1015.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.7
